x,y,z
-0.020818201323934724,-1.1515088963276097e-12,0.0
-0.020893249785106902,-1.2768354523826667e-12,0.0
-0.02100649155056949,-1.4695945342539579e-12,0.0
-0.021082278867504082,-1.6007104105204588e-12,0.0
-0.021196117696692413,-1.8003140877371944e-12,0.0
-0.021271943448137712,-1.934761729206083e-12,0.0
-0.021385278990072185,-2.1375136927504097e-12,0.0
-0.0214603889809704,-2.2728335406215475e-12,0.0
-0.021534999648713797,-2.4078288771786528e-12,0.0
-0.02164572002509941,-2.6088995275341854e-12,0.0
-0.021718569811321677,-2.7414738068939104e-12,0.0
-0.02182612916680972,-2.937258856767108e-12,0.0
-0.021896546318090453,-3.0652514316122234e-12,0.0
-0.022000012871152597,-3.252668221867273e-12,0.0
-0.022067435286374847,-3.374141208738725e-12,0.0
-0.02216606705821188,-3.5504650553368537e-12,0.0
-0.022230073556051565,-3.663723426739492e-12,0.0
-0.022323356966670108,-3.82660452733666e-12,0.0
-0.0223836872077831,-3.930216740134994e-12,0.0
-0.02247135795477707,-4.0776998491082466e-12,0.0
-0.022527920289958467,-4.170486833520366e-12,0.0
-0.022609966077796445,-4.3009815690071235e-12,0.0
-0.0226628334767772,-4.381995190249523e-12,0.0
-0.02273947946491426,-4.49424961783024e-12,0.0
-0.022788874544971555,-4.562763196953138e-12,0.0
-0.022860553730065607,-4.655826493820708e-12,0.0
-0.0229068244764644,-4.711290903084601e-12,0.0
-0.022974135052441173,-4.784470221754398e-12,0.0
-0.023017723253829784,-4.8265038602033955e-12,0.0
-0.023060376487006786,-4.863089929054207e-12,0.0
-0.023122784141443472,-4.9076837434266676e-12,0.0
-0.02316346320329103,-4.9305274029720706e-12,0.0
-0.02322330138684846,-4.954442184515881e-12,0.0
-0.023262525931573293,-4.963482366759665e-12,0.0
-0.023320558506341724,-4.966718481773767e-12,0.0
-0.023358819620347488,-4.9620249589363794e-12,0.0
-0.023415743719466916,-4.9447894295059945e-12,0.0
-0.02345347336656343,-4.926567576950108e-12,0.0
-0.023509878026493607,-4.889286554220154e-12,0.0
